"Entity","Year","Annual COâ‚‚ emissions (per capita)"
"Afghanistan","2023","0.27"
"Africa","2023","0.96"
"Albania","2023","1.83"
"Algeria","2023","3.86"
"Andorra","2023","5.24"
"Angola","2023","0.57"
"Anguilla","2023","10.04"
"Antigua and Barbuda","2023","6.91"
"Argentina","2023","4.3"
"Armenia","2023","2.58"
"Aruba","2023","8.04"
"Asia","2023","4.73"
"Asia (excl. China and India)","2023","3.99"
"Australia","2023","14.48"
"Austria","2023","6.42"
"Azerbaijan","2023","4.26"
"Bahamas","2023","6.27"
"Bahrain","2023","23.27"
"Bangladesh","2023","0.66"
"Barbados","2023","4.22"
"Belarus","2023","6.2"
"Belgium","2023","7.12"
"Belize","2023","1.62"
"Benin","2023","0.4"
"Bermuda","2023","8.08"
"Bhutan","2023","2.18"
"Bolivia","2023","1.91"
"Bonaire Sint Eustatius and Saba","2023","3.85"
"Bosnia and Herzegovina","2023","6.34"
"Botswana","2023","2.71"
"Brazil","2023","2.3"
"British Virgin Islands","2023","4.76"
"Brunei","2023","25.65"
"Bulgaria","2023","5.31"
"Burkina Faso","2023","0.27"
"Burundi","2023","0.05"
"Cambodia","2023","1.16"
"Cameroon","2023","0.35"
"Canada","2023","13.98"
"Cape Verde","2023","1.02"
"Central African Republic","2023","0.05"
"Chad","2023","0.16"
"Chile","2023","3.93"
"China","2023","8.37"
"Colombia","2023",""
"Comoros","2023","0.53"
"Congo","2023","1.24"
"Cook Islands","2023","5.13"
"Costa Rica","2023","1.62"
"Cote d'Ivoire","2023","0.42"
"Croatia","2023","4.5"
"Cuba","2023","2.1"
"Curacao","2023","10.91"
"Cyprus","2023","5.33"
"Czechia","2023","7.92"
"Democratic Republic of Congo","2023","0.04"
"Denmark","2023","4.58"
"Djibouti","2023","0.43"
"Dominica","2023","2.45"
"Dominican Republic","2023","2.83"
"East Timor","2023","0.46"
"Ecuador","2023","2.4"
"Egypt","2023","2.35"
"El Salvador","2023","1.3"
"Equatorial Guinea","2023","3.32"
"Eritrea","2023","0.18"
"Estonia","2023","7.33"
"Eswatini","2023","0.9"
"Ethiopia","2023","0.12"
"Europe","2023","6.69"
"Europe (excl. EU-27)","2023","8.39"
"Europe (excl. EU-28)","2023","9.58"
"European Union (27)","2023","5.57"
"European Union (28)","2023","5.42"
"Faroe Islands","2023","14.58"
"Fiji","2023","1.24"
"Finland","2023","5.65"
"France","2023","4.1"
"French Polynesia","2023","3.26"
"Gabon","2023","2.18"
"Gambia","2023","0.26"
"Georgia","2023","3.09"
"Germany","2023","7.05"
"Ghana","2023","0.58"
"Greece","2023","5.39"
"Greenland","2023","10.67"
"Grenada","2023","2.9"
"Guatemala","2023","1.12"
"Guinea","2023","0.28"
"Guinea-Bissau","2023","0.14"
"Guyana","2023","4.29"
"Haiti","2023","0.3"
"High-income countries","2023","9.93"
"Honduras","2023","1.04"
"Hong Kong","2023","4.55"
"Hungary","2023","4.15"
"Iceland","2023","9.71"
"India","2023","2.13"
"Indonesia","2023","2.61"
"Iran","2023","9.03"
"Iraq","2023","3.91"
"Ireland","2023","6.63"
"Israel","2023","6.43"
"Italy","2023","5.27"
"Jamaica","2023","2.69"
"Japan","2023","7.95"
"Jordan","2023","1.85"
"Kazakhstan","2023","12.55"
"Kenya","2023","0.39"
"Kiribati","2023","0.52"
"Kosovo","2023","4.93"
"Kuwait","2023","20.51"
"Kyrgyzstan","2023","1.44"
"Laos","2023","3.24"
"Latvia","2023","3.46"
"Lebanon","2023","3.37"
"Lesotho","2023","1.68"
"Liberia","2023","0.14"
"Libya","2023","8.35"
"Liechtenstein","2023","3.97"
"Lithuania","2023","4.37"
"Low-income countries","2023","0.27"
"Lower-middle-income countries","2023","1.58"
"Luxembourg","2023","10.52"
"Macao","2023","1.48"
"Madagascar","2023","0.14"
"Malawi","2023","0.08"
"Malaysia","2023","8.22"
"Maldives","2023","3.92"
"Mali","2023","0.28"
"Malta","2023","3.42"
"Marshall Islands","2023","3.95"
"Mauritania","2023","0.88"
"Mauritius","2023","3.25"
"Mexico","2023","3.72"
"Micronesia (country)","2023","1.33"
"Moldova","2023","1.94"
"Mongolia","2023","13.66"
"Montenegro","2023","3.68"
"Montserrat","2023","5.06"
"Morocco","2023","1.82"
"Mozambique","2023","0.24"
"Myanmar","2023","0.56"
"Namibia","2023","1.41"
"Nauru","2023","4.85"
"Nepal","2023","0.56"
"Netherlands The","2023","6.56"
"New Caledonia","2023","17.48"
"New Zealand","2023","5.82"
"Nicaragua","2023","0.82"
"Niger","2023","0.1"
"Nigeria","2023","0.56"
"Niue","2023","4.24"
"North America","2023","10.13"
"North America (excl. USA)","2023","4.64"
"North Korea","2023","2.3"
"North Macedonia","2023","4.07"
"Norway","2023","7.05"
"Oceania","2023","9.5"
"Oman","2023","15.55"
"Pakistan","2023","0.81"
"Palau","2023","12.56"
"Palestine","2023","0.65"
"Panama","2023","3.14"
"Papua New Guinea","2023","0.8"
"Paraguay","2023","1.19"
"Peru","2023","1.65"
"Philippines","2023","1.35"
"Poland","2023","7.46"
"Portugal","2023","3.57"
"Qatar","2023","38.84"
"Romania","2023","3.57"
"Russia","2023","12.49"
"Rwanda","2023","0.11"
"Saint Helena","2023","2.11"
"Saint Kitts and Nevis","2023","4.99"
"Saint Lucia","2023","2.85"
"Saint Pierre and Miquelon","2023","9.8"
"Saint Vincent and the Grenadines","2023","2.34"
"Samoa","2023","1.19"
"Sao Tome and Principe","2023","0.72"
"Saudi Arabia","2023","22.13"
"Senegal","2023","0.66"
"Serbia","2023","6.25"
"Seychelles","2023","4.31"
"Sierra Leone","2023","0.15"
"Singapore","2023","8.51"
"Sint Maarten (Dutch part)","2023","16.22"
"Slovakia","2023","5.57"
"Slovenia","2023","5.35"
"Solomon Islands","2023","0.38"
"Somalia","2023","0.03"
"South Africa","2023","6.36"
"South America","2023","2.56"
"South Korea","2023","11.16"
"South Sudan","2023","0.14"
"Spain","2023","4.63"
"Sri Lanka","2023","0.88"
"Sudan","2023","0.4"
"Suriname","2023","4.21"
"Sweden","2023","3.46"
"Switzerland","2023","3.69"
"Syria","2023","1.08"
"Taiwan","2023","11.2"
"Tajikistan","2023","0.87"
"Tanzania","2023","0.27"
"Thailand","2023","3.69"
"Togo","2023","0.28"
"Tonga","2023","1.91"
"Trinidad and Tobago","2023","22.83"
"Tunisia","2023","2.69"
"Turkey","2023","4.95"
"Turkmenistan","2023","8.6"
"Turks and Caicos Islands","2023","8.03"
"Tuvalu","2023","1.17"
"Uganda","2023","0.12"
"Ukraine","2023","3.62"
"United Arab Emirates","2023","21.55"
"United Kingdom","2023","4.44"
"United States","2023","14.3"
"Upper-middle-income countries","2023","6.16"
"Uruguay","2023","2.32"
"Uzbekistan","2023","3.5"
"Vanuatu","2023","0.71"
"Venezuela","2023","3.52"
"Vietnam","2023","3.34"
"Wallis and Futuna","2023","2.7"
"World","2023","4.67"
"Yemen","2023","0.25"
"Zambia","2023","0.37"
"Zimbabwe","2023","0.68"