"Country","Companies"
"Belgium","888 925"
"Bulgaria","394 135"
"Czechia","1 292 436"
"Denmark","380 208"
"Germany","3 164 855"
"Estonia","153 907"
"Ireland","389 654"
"Greece","917 441"
"Spain","3 487 503"
"France","5 202 687"
"Croatia","227 408"
"Italy","4 579 525"
"Cyprus","87 707"
"Latvia","145 441"
"Lithuania","329 361"
"Luxembourg","45 021"
"Hungary","976 964"
"Malta","51 506"
"Netherlands","2 204 281"
"Austria","583 947"
"Poland","2 675 865"
"Portugal","1 329 175"
"Romania","974 968"
"Slovenia","194 876"
"Slovakia","635 781"
"Finland","442 264"
"Sweden","835 543"
"Iceland","44 981"
"North Macedonia","66 577"
"Serbia","205 316"
"Türkiye","3 806 819"